offer_id,offer_name,funding_source,investment_limit,investment_used,allocation_id,start_date,end_date
5001,CardioLife | Seasonal Care | Jul 2026,VENDOR,75000.0,67591.83,17001,2026-07-16,2026-08-23
5002,OrbeKids | Health Essentials | Apr 2026,RETAILER,0.0,21506.23,17002,2026-04-30,2026-09-12
5003,Alivium | Health Essentials | May 2026,VENDOR,0.0,1277.46,17003,2026-05-20,2026-09-07
5004,CalmZen | Customer Benefits | Jul 2026,VENDOR,10000.0,6656.69,17004,2026-07-22,2026-08-27
5005,Dermacare | Health Essentials | Jul 2026,RETAILER,75000.0,25654.34,17005,2026-07-24,2026-08-23
5006,NexumFlex | Family Health | Jul 2026,VENDOR,200000.0,171874.01,17006,2026-07-20,2026-08-07
5007,VitaPlus | Special Prices | May 2026,RETAILER,200000.0,186491.72,17007,2026-05-25,2026-07-19
5008,CalmZen | Family Health | May 2026,RETAILER,10000.0,8718.26,17008,2026-05-06,2026-08-05
5009,OrbeKids | Seasonal Care | Aug 2026,VENDOR,50000.0,26214.52,17009,2026-08-26,2026-09-24
5010,GastroBem | Seasonal Care | Apr 2026,VENDOR,10000.0,3702.77,17010,2026-04-01,2026-06-02
5011,CardioLife | Smart Offer | May 2026,RETAILER,20000.0,19483.74,17011,2026-05-24,2026-07-24
5012,CalmZen | Seasonal Care | Jun 2026,VENDOR,10000.0,5043.66,17012,2026-06-18,2026-08-26
5013,GastroBem | Smart Offer | Apr 2026,RETAILER,50000.0,40277.42,17013,2026-04-30,2026-08-10
5014,BemEstar | Smart Offer | May 2026,RETAILER,10000.0,9485.18,17014,2026-05-12,2026-07-19
5015,NexumFlex | Monthly Savings | Apr 2026,VENDOR,100000.0,28904.22,17015,2026-04-25,2026-09-06
5016,VitaPlus | Premium Campaign | Apr 2026,VENDOR,0.0,4451.45,17016,2026-04-02,2026-06-21
5017,NexumLife | Daily Care | Jun 2026,VENDOR,30000.0,25801.59,17017,2026-06-05,2026-08-11
5018,NexumCough | Monthly Savings | Jun 2026,VENDOR,0.0,21987.94,17018,2026-06-03,2026-09-27
5019,CalmZen | Smart Offer | May 2026,VENDOR,50000.0,27921.88,17019,2026-05-30,2026-07-29
5020,ImunoMax | Seasonal Care | Jul 2026,RETAILER,300000.0,79033.24,17020,2026-07-23,2026-08-21
5021,EnerVita | Family Health | May 2026,VENDOR,0.0,27912.63,17021,2026-05-26,2026-09-02
5022,NexumLife | Wellness Selection | Jul 2026,VENDOR,100000.0,13016.23,17022,2026-07-24,2026-09-22
5023,NexumLife | Seasonal Care | Aug 2026,RETAILER,10000.0,9391.12,17023,2026-08-19,2026-10-16
5024,Respira | Seasonal Care | Apr 2026,VENDOR,50000.0,38950.29,17024,2026-04-26,2026-06-02
5025,GastroBem | Seasonal Care | Jun 2026,VENDOR,10000.0,2015.67,17025,2026-06-19,2026-09-19
5026,OrbeCare | Wellness Selection | Jun 2026,VENDOR,150000.0,34284.76,17026,2026-06-10,2026-09-12
5027,SomaFit | Premium Campaign | Jun 2026,RETAILER,300000.0,182782.69,17027,2026-06-04,2026-09-27
5028,SomaDerm | Health Essentials | Jun 2026,VENDOR,150000.0,136393.95,17028,2026-06-16,2026-07-27
5029,OrbeSenior | Wellness Selection | Jun 2026,RETAILER,20000.0,6682.92,17029,2026-06-15,2026-09-02
5030,VitaPlus | Monthly Savings | May 2026,VENDOR,100000.0,92043.62,17030,2026-05-09,2026-09-04
5031,OrbeCare | Seasonal Care | Jun 2026,VENDOR,0.0,12145.56,17031,2026-06-12,2026-09-17
5032,DorFree | Special Prices | May 2026,RETAILER,75000.0,4414.44,17032,2026-05-25,2026-08-16
5033,Alivium | Wellness Selection | Apr 2026,VENDOR,20000.0,17188.04,17033,2026-04-26,2026-07-25
5034,GastroBem | Special Prices | Jul 2026,RETAILER,100000.0,86390.29,17034,2026-07-17,2026-09-27
5035,NexumCough | Special Prices | May 2026,VENDOR,300000.0,96660.23,17035,2026-05-01,2026-07-20
5036,SomaVital | Health Essentials | May 2026,VENDOR,100000.0,57713.81,17036,2026-05-02,2026-06-18
5037,VitaPlus | Wellness Selection | Jun 2026,RETAILER,10000.0,1211.14,17037,2026-06-07,2026-08-28
5038,OrbeKids | Daily Care | May 2026,RETAILER,30000.0,10157.24,17038,2026-05-28,2026-08-11
5039,GastroBem | Monthly Savings | Jul 2026,RETAILER,75000.0,64786.02,17039,2026-07-24,2026-08-23
5040,DorFree | Monthly Savings | Mar 2026,RETAILER,20000.0,6725.53,17040,2026-03-24,2026-06-16
5041,Respira | Health Essentials | Mar 2026,RETAILER,0.0,34968.33,17041,2026-03-13,2026-06-01
5042,HidraSkin | Special Prices | Jul 2026,VENDOR,30000.0,5710.6,17042,2026-07-09,2026-09-26
5043,OrbeSenior | Family Health | Jun 2026,VENDOR,100000.0,96503.4,17043,2026-06-16,2026-08-12
5044,SomaDerm | Customer Benefits | Aug 2026,VENDOR,50000.0,24135.02,17044,2026-08-28,2026-10-16
5045,SonoLeve | Premium Campaign | May 2026,RETAILER,100000.0,19733.55,17045,2026-05-30,2026-09-15
5046,OrbeSenior | Premium Campaign | Apr 2026,RETAILER,0.0,18456.73,17046,2026-04-23,2026-09-23
5047,SomaDerm | Wellness Selection | Apr 2026,VENDOR,20000.0,19286.94,17047,2026-04-24,2026-08-25
5048,NexumLife | Smart Offer | May 2026,VENDOR,30000.0,27241.45,17048,2026-05-16,2026-08-16
5049,CalmZen | Premium Campaign | Jul 2026,RETAILER,0.0,21472.75,17049,2026-07-22,2026-08-17
5050,SomaFit | Special Prices | Aug 2026,RETAILER,300000.0,161377.33,17050,2026-08-15,2026-09-24
5051,DorFree | Family Health | May 2026,RETAILER,200000.0,104576.77,17051,2026-05-30,2026-07-09
5052,EnerVita | Family Health | May 2026,RETAILER,10000.0,8451.67,17052,2026-05-21,2026-08-23
5053,SomaFit | Premium Campaign | Jun 2026,VENDOR,0.0,31466.37,17053,2026-06-07,2026-08-08
5054,NexumCough | Wellness Selection | May 2026,RETAILER,150000.0,120516.46,17054,2026-05-11,2026-08-24
5055,Respira | Customer Benefits | Jun 2026,VENDOR,10000.0,5555.88,17055,2026-06-22,2026-08-29
5056,NexumCough | Daily Care | Aug 2026,VENDOR,300000.0,49398.92,17056,2026-08-15,2026-10-09
5057,VitaPlus | Special Prices | May 2026,RETAILER,10000.0,9016.72,17057,2026-05-12,2026-09-09
5058,SomaFit | Seasonal Care | May 2026,VENDOR,200000.0,197504.21,17058,2026-05-26,2026-09-23
5059,BemEstar | Premium Campaign | Jun 2026,VENDOR,100000.0,33987.79,17059,2026-06-18,2026-09-06
5060,EnerVita | Seasonal Care | Jun 2026,VENDOR,100000.0,83272.41,17060,2026-06-10,2026-07-18
5061,Alivium | Monthly Savings | May 2026,VENDOR,50000.0,51874.61,17061,2026-05-23,2026-09-17
5062,SomaDerm | Health Essentials | Mar 2026,VENDOR,0.0,16892.12,17062,2026-03-26,2026-06-11
5063,HidraSkin | Monthly Savings | Aug 2026,VENDOR,50000.0,31100.31,17063,2026-08-07,2026-09-05
5064,DorFree | Customer Benefits | Jul 2026,RETAILER,100000.0,95188.24,17064,2026-07-03,2026-09-19
5065,BemEstar | Special Prices | May 2026,RETAILER,300000.0,166004.16,17065,2026-05-16,2026-09-08
5066,SomaFit | Health Essentials | May 2026,RETAILER,0.0,3454.17,17066,2026-05-18,2026-06-19
5067,NutriMais | Premium Campaign | May 2026,RETAILER,50000.0,29714.85,17067,2026-05-11,2026-08-24
5068,Dermacare | Family Health | Aug 2026,RETAILER,20000.0,16063.13,17068,2026-08-03,2026-09-08
5069,NexumLife | Daily Care | May 2026,RETAILER,300000.0,259296.41,17069,2026-05-15,2026-08-16
5070,Respira | Family Health | Jun 2026,VENDOR,150000.0,121861.21,17070,2026-06-16,2026-09-28
5071,DorFree | Smart Offer | May 2026,VENDOR,200000.0,90823.48,17071,2026-05-20,2026-06-15
5072,NexumCough | Health Essentials | Apr 2026,VENDOR,300000.0,81844.42,17072,2026-04-30,2026-08-07
5073,BioFlex | Monthly Savings | Apr 2026,RETAILER,0.0,6331.13,17073,2026-04-26,2026-08-20
5074,HidraSkin | Premium Campaign | Jun 2026,VENDOR,100000.0,28826.96,17074,2026-06-27,2026-09-09
5075,OrbeKids | Health Essentials | May 2026,VENDOR,75000.0,55754.92,17075,2026-05-25,2026-06-23
5076,NexumCough | Special Prices | Jun 2026,VENDOR,20000.0,8022.39,17076,2026-06-17,2026-09-16
5077,Alivium | Customer Benefits | May 2026,VENDOR,20000.0,7517.73,17077,2026-05-12,2026-08-10
5078,BioFlex | Wellness Selection | May 2026,VENDOR,20000.0,8249.56,17078,2026-05-19,2026-09-27
5079,Alivium | Smart Offer | Apr 2026,VENDOR,30000.0,27362.85,17079,2026-04-27,2026-07-08
5080,OrbeKids | Customer Benefits | Jul 2026,RETAILER,20000.0,12570.15,17080,2026-07-17,2026-09-06
5081,GastroBem | Family Health | May 2026,RETAILER,30000.0,22981.24,17081,2026-05-31,2026-09-24
5082,OrbeSenior | Seasonal Care | May 2026,VENDOR,50000.0,5118.25,17082,2026-05-30,2026-09-28
5083,OrbeKids | Daily Care | Jul 2026,VENDOR,300000.0,242408.08,17083,2026-07-22,2026-09-20
5084,SonoLeve | Daily Care | May 2026,VENDOR,10000.0,4350.53,17084,2026-05-12,2026-07-21
5085,EnerVita | Customer Benefits | Jun 2026,RETAILER,50000.0,52675.88,17085,2026-06-22,2026-09-19
5086,NexumFlex | Monthly Savings | May 2026,VENDOR,20000.0,8956.33,17086,2026-05-05,2026-08-09
5087,Alivium | Smart Offer | Jun 2026,VENDOR,75000.0,76503.77,17087,2026-06-12,2026-08-30
5088,CalmZen | Premium Campaign | Jul 2026,RETAILER,150000.0,92173.64,17088,2026-07-05,2026-09-12
5089,SomaVital | Smart Offer | Jun 2026,VENDOR,300000.0,283767.7,17089,2026-06-26,2026-08-05
5090,VitaPlus | Daily Care | Aug 2026,VENDOR,200000.0,115974.32,17090,2026-08-11,2026-09-15
5091,SomaVital | Family Health | May 2026,RETAILER,50000.0,4645.41,17091,2026-05-03,2026-08-27
5092,Alivium | Health Essentials | Apr 2026,VENDOR,0.0,32775.83,17092,2026-04-27,2026-09-11
5093,NexumCough | Seasonal Care | May 2026,RETAILER,300000.0,283455.36,17093,2026-05-20,2026-06-15
5094,SomaDerm | Daily Care | May 2026,RETAILER,100000.0,90458.57,17094,2026-05-06,2026-08-05
5095,SonoLeve | Special Prices | Jun 2026,RETAILER,20000.0,18423.05,17095,2026-06-04,2026-08-25
5096,SomaVital | Daily Care | Apr 2026,RETAILER,20000.0,1540.81,17096,2026-04-30,2026-07-27
5097,NexumLife | Special Prices | Apr 2026,VENDOR,30000.0,24236.23,17097,2026-04-21,2026-06-18
5098,BemEstar | Smart Offer | Jul 2026,VENDOR,20000.0,7864.27,17098,2026-07-11,2026-09-28
5099,OrbeKids | Family Health | Jul 2026,VENDOR,300000.0,89481.51,17099,2026-07-13,2026-09-15
5100,CalmZen | Smart Offer | May 2026,VENDOR,300000.0,244400.28,17100,2026-05-21,2026-08-27
