product_id,brand,manufacturer,product_name
100001,Alivium,NovaMed Labs,Alivium Capsules 30 units
100002,Alivium,NovaMed Labs,Alivium Gel 100 g
100003,Alivium,NovaMed Labs,Alivium Cream 60 g
100004,Alivium,NovaMed Labs,Alivium Cream 60 g
100005,Alivium,NovaMed Labs,Alivium Tablets 20 units
100006,Alivium,NovaMed Labs,Alivium Pack 12 units
100007,Alivium,NovaMed Labs,Alivium Syrup 120 ml
100008,Alivium,NovaMed Labs,Alivium Solution 30 ml
100009,Alivium,NovaMed Labs,Alivium Capsules 30 units
100010,Alivium,NovaMed Labs,Alivium Supplement 60 capsules
100011,CardioLife,NovaMed Labs,CardioLife Cream 60 g
100012,CardioLife,NovaMed Labs,CardioLife Syrup 120 ml
100013,CardioLife,NovaMed Labs,CardioLife Tablets 20 units
100014,CardioLife,NovaMed Labs,CardioLife Solution 30 ml
100015,CardioLife,NovaMed Labs,CardioLife Gel 100 g
100016,CardioLife,NovaMed Labs,CardioLife Pack 12 units
100017,CardioLife,NovaMed Labs,CardioLife Capsules 30 units
100018,CardioLife,NovaMed Labs,CardioLife Syrup 120 ml
100019,CardioLife,NovaMed Labs,CardioLife Gel 100 g
100020,CardioLife,NovaMed Labs,CardioLife Supplement 60 capsules
100021,Respira,NovaMed Labs,Respira Capsules 30 units
100022,Respira,NovaMed Labs,Respira Gel 100 g
100023,Respira,NovaMed Labs,Respira Syrup 120 ml
100024,Respira,NovaMed Labs,Respira Gel 100 g
100025,Respira,NovaMed Labs,Respira Cream 60 g
100026,Respira,NovaMed Labs,Respira Tablets 20 units
100027,Respira,NovaMed Labs,Respira Supplement 60 capsules
100028,Respira,NovaMed Labs,Respira Capsules 30 units
100029,Respira,NovaMed Labs,Respira Solution 30 ml
100030,Respira,NovaMed Labs,Respira Gel 100 g
100031,Dermacare,Aurora Pharma,Dermacare Gel 100 g
100032,Dermacare,Aurora Pharma,Dermacare Syrup 120 ml
100033,Dermacare,Aurora Pharma,Dermacare Tablets 20 units
100034,Dermacare,Aurora Pharma,Dermacare Gel 100 g
100035,Dermacare,Aurora Pharma,Dermacare Solution 30 ml
100036,Dermacare,Aurora Pharma,Dermacare Syrup 120 ml
100037,Dermacare,Aurora Pharma,Dermacare Capsules 30 units
100038,Dermacare,Aurora Pharma,Dermacare Solution 30 ml
100039,Dermacare,Aurora Pharma,Dermacare Solution 30 ml
100040,Dermacare,Aurora Pharma,Dermacare Syrup 120 ml
100041,HidraSkin,Aurora Pharma,HidraSkin Tablets 20 units
100042,HidraSkin,Aurora Pharma,HidraSkin Capsules 30 units
100043,HidraSkin,Aurora Pharma,HidraSkin Gel 100 g
100044,HidraSkin,Aurora Pharma,HidraSkin Gel 100 g
100045,HidraSkin,Aurora Pharma,HidraSkin Capsules 30 units
